--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20111106 13:30	25.2	25.2	26.2	76	20.6	3	10	202	0.0	1007.5	75	0.000	0.9
20111106 13:35	25.0	25.0	25.9	78	20.9	2	10	225	0.0	1007.5	61	0.000	0.7
20111106 13:40	24.9	24.9	25.7	79	21.0	2	8	225	0.0	1007.4	53	0.000	0.0
20111106 13:45	24.7	24.7	25.4	80	21.0	2	5	225	0.0	1007.2	52	0.000	0.0
20111106 13:50	24.7	24.7	25.3	82	21.4	0	3	202	0.0	1007.2	57	0.000	0.6
20111106 13:55	24.5	24.5	25.0	82	21.2	0	3	202	0.0	1007.1	42	0.000	0.0
20111106 14:00	24.5	24.5	25.0	81	21.0	0	3	202	0.0	1007.2	40	0.051	0.0
20111106 14:05	24.3	24.3	24.8	81	20.9	0	2	180	0.0	1007.2	38	0.000	0.0
20111106 14:10	24.0	24.0	24.2	82	20.7	2	5	112	0.0	1007.1	33	0.000	0.0
20111106 14:15	23.7	23.7	23.7	81	20.3	0	5	112	0.0	1007.4	22	0.000	0.0
20111106 14:20	23.4	23.4	23.4	83	20.3	6	14	90	0.0	1007.3	11	0.000	0.0
20111106 14:25	22.6	22.6	22.6	87	20.3	5	13	90	0.0	1007.0	24	0.000	0.0
20111106 14:30	22.0	22.0	22.0	90	20.3	2	6	90	0.2	1007.0	27	0.000	0.0
20111106 14:35	21.7	21.7	21.7	91	20.2	2	5	90	0.0	1007.0	23	0.000	0.0
20111106 14:40	21.6	21.6	21.6	92	20.3	0	2	90	0.0	1007.0	23	0.000	0.0
20111106 14:45	21.6	21.6	21.6	93	20.4	2	5	90	0.6	1007.0	28	0.000	0.0
20111106 14:50	21.6	21.6	21.6	93	20.4	0	3	90	0.6	1007.2	30	0.000	0.0
20111106 14:55	21.4	21.4	21.4	94	20.4	0	3	90	0.6	1007.3	23	0.000	0.0
20111106 15:00	21.3	21.3	21.3	94	20.3	3	8	315	0.2	1007.3	11	0.025	0.0
20111106 15:05	21.3	21.3	21.3	94	20.3	2	3	338	0.2	1007.3	18	0.000	0.0
20111106 15:10	21.3	21.3	21.3	94	20.3	2	6	315	0.2	1007.1	22	0.000	0.0
20111106 15:15	21.3	21.3	21.3	94	20.3	0	2	315	0.0	1007.0	27	0.000	0.0
20111106 15:20	21.2	21.2	21.2	94	20.2	0	3	270	0.0	1006.9	33	0.000	0.0
20111106 15:25	21.2	21.2	21.2	95	20.4	0	3	270	0.0	1006.9	27	0.000	0.0
20111106 15:30	21.1	21.1	21.1	95	20.3	0	3	270	0.0	1007.0	20	0.000	0.0
20111106 15:35	21.2	21.2	21.2	96	20.5	0	2	270	0.2	1006.9	15	0.000	0.0
20111106 15:40	21.2	21.2	21.2	95	20.4	2	3	270	0.0	1006.8	13	0.000	0.0
20111106 15:45	21.2	21.2	21.2	96	20.6	0	0	-100000	0.2	1006.9	12	0.000	0.0
20111106 15:50	21.3	21.3	21.3	96	20.6	0	0	-100000	0.2	1007.0	10	0.000	0.0
20111106 15:55	21.2	21.2	21.2	96	20.6	0	2	248	0.0	1007.0	7	0.000	0.0
20111106 16:00	21.3	21.3	21.3	96	20.6	0	0	-100000	0.2	1007.0	7	0.000	0.0
20111106 16:05	21.3	21.3	21.3	96	20.6	0	0	-100000	0.0	1007.1	6	0.000	0.0
20111106 16:10	21.3	21.3	21.3	97	20.8	0	2	248	0.2	1007.1	5	0.000	0.0
20111106 16:15	21.3	21.3	21.3	97	20.8	0	0	-100000	0.0	1007.0	5	0.000	0.0
